,Species,Mass,RMR,TMRmin,Teu,Ttormin,Ceu,Ct,WR,pLean,pFat,pFly,S,Tlc,ttormax,mrPd,aPd,pMass.i,pMass,teu,SA.body,SA.wing,Wing.prop,rEWL.body,rEWL.wing
1,MYLU,8.536904762,2.62,0.092312155,37,2,0.26,0.2,48,0.65207694,0.248987478,1.00E-04,0.1728,32,625,0.01539,0.16,0.027,0.027,2.2,39.2632638,19.6818882,0.501279983,0.1,0.353230681
2,EPFU,19.65945946,3.13,0.058877976,37,2,0.26,0.2,90,0.639191622,0.259617902,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1,62.03245786,35.33281818,0.569585978,0.1,0.110917104
3,MYVE,14.40526316,3.08,0.071338266,37,5,0.26,0.2,50,0.717990531,0.212578848,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,59.24388182,27.0356,0.456344169,0.1,0.198266635
4,COTO,10.04098884,2.79,0.064682323,37,5,0.26,0.2,91.2,0.723973689,0.182956553,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,45.82607606,24.56328571,0.536011106,0.1,0.134392158
5,PESU,6.378014184,2.5,0.074055298,37,5,0.26,0.2,48,0.638847257,0.253952563,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,35.43375864,16.93304762,0.477878957,0.1,0.374265161
6,MYTH,9.036538462,2.78,0.060250117,37,5,0.26,0.2,54.6,0.65065476,0.263491689,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,45.42032508,22.71016254,0.5,0.1,0.290578665
7,MYYU,5.693175074,2.22,0.087816761,37,2,0.26,0.2,27.56,0.827083333,0.125,1.00E-04,0.1728,32,506.9366,0.01539,0.16,0.027,0.027,1.39793,31.7597899,15.87989495,0.5,0.1,0.3278
8,MYCA,5.467567568,1.72,0.02908589,37,2,0.26,0.2,43.8,0.68,0.257777778,1.00E-04,0.1728,32,506.9366,0.01539,0.16,0.027,0.027,1.39793,29.24017738,14.62008869,0.5,0.1,0.3278
9,TABR,13.98596491,3.28,0.06492206,37,5,0.26,0.2,77.4,0.850819057,0.100413195,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,71.20367359,35.6018368,0.5,0.1,0.29470285
10,MYEV,7.29078341,2.6,0.044648386,37,5,0.26,0.2,40.2,0.649054259,0.249009358,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,38.62138559,19.3106928,0.5,0.1,0.328363259
11,MYCI,5.213953488,2.4,0.053405007,37,2,0.26,0.2,54.68,0.668984327,0.232172012,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,32.28137283,16.14068642,0.5,0.1,0.282167926
12,MYVO,8.460330579,2.69,0.060631682,37,5,0.26,0.2,49.46,0.681614185,0.212786649,1.00E-04,0.1728,32,792,0.01539,0.16,0.027,0.027,1.1,41.9757986,20.9878993,0.5,0.1,0.268182634
13,LANO,11.93767123,1.163415,0.060631682,37,2,0.26,0.2,57.55,0.53,0.19,1.00E-04,0.1728,32,518.0738,0.01539,0.16,0.027,0.027,1.401362,54.43009006,27.21504503,0.5,0.1,0.3278
